timestamp,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1776480300000,77282.7,77294.7,77230.9,77249.5,302.25,1776481199999,23351777.17760,10479,139.537,10780412.63290,0
1776481200000,77249.6,77254.3,77183.1,77217.6,311.337,1776482099999,24043159.45230,12105,139.868,10801369.75310,0
1776482100000,77217.6,77218.1,77118.7,77139.3,309.28,1776482999999,23865770.13780,10612,105.558,8145788.74030,0
1776483000000,77139.2,77155.8,77056.0,77116.4,590.238,1776483899999,45511958.14090,17595,256.831,19804776.73530,0
1776483900000,77116.4,77165.6,76903.2,76964.3,1284.238,1776484799999,98877978.56300,31124,438.179,33735154.21920,0
1776484800000,76964.4,77054.5,76913.7,77031.8,588.678,1776485699999,45320355.76350,18360,305.711,23534755.44790,0
1776485700000,77031.8,77031.8,76888.0,76943.3,679.43,1776486599999,52287522.86750,19467,249.494,19199029.82920,0
1776486600000,76943.3,77037.4,76824.1,76939.6,1580.54,1776487499999,121580703.71240,27125,954.628,73432424.82240,0
1776487500000,76939.6,77131.8,76939.6,77065.9,683.603,1776488399999,52671845.13180,17494,473.830,36508191.35220,0
1776488400000,77065.8,77233.6,77063.5,77159.2,845.229,1776489299999,65217263.70010,21656,524.357,40457234.11910,0
1776489300000,77159.3,77177.0,77091.1,77108.1,548.061,1776490199999,42272844.81390,15007,252.736,19494714.13730,0
1776490200000,77108.0,77150.0,77063.7,77107.4,588.917,1776491099999,45404716.22340,15760,283.426,21852348.36990,0
1776491100000,77107.4,77107.5,77073.2,77085.0,180.504,1776491999999,13914810.30790,6001,95.657,7373924.84370,0
1776492000000,77085.1,77177.0,77053.2,77123.0,740.09,1776492899999,57068099.61570,17753,378.109,29156026.46950,0
1776492900000,77122.9,77142.1,77008.0,77041.6,463.85,1776493799999,35743118.65550,11781,141.433,10900508.89640,0
1776493800000,77041.7,77100.0,77035.2,77097.7,274.825,1776494699999,21179443.61760,9652,162.981,12559885.57920,0
1776494700000,77097.7,77118.7,77059.6,77078.7,205.503,1776495599999,15841509.73040,7877,131.628,10146803.89280,0
1776495600000,77078.7,77086.5,77020.2,77028.4,336.225,1776496499999,25905902.34400,10009,173.058,13334128.94120,0
1776496500000,77028.4,77064.1,77000.0,77049.4,333.271,1776497399999,25672299.33970,9562,144.063,11097609.40950,0
1776497400000,77049.3,77054.6,76925.5,76996.2,1222.044,1776498299999,94083634.37460,18547,563.635,43391514.92210,0
1776498300000,76996.2,76996.2,76826.8,76951.0,1424.239,1776499199999,109525504.17400,29494,553.874,42593869.61000,0
1776499200000,76951.0,77004.2,76744.0,76761.5,1646.276,1776500099999,126536570.97610,27818,426.102,32762937.49550,0
1776500100000,76761.5,76820.0,76584.7,76644.7,5203.941,1776500999999,398988409.62590,75714,1714.753,131477106.09160,0
1776501000000,76644.7,76729.0,76460.0,76515.0,2903.364,1776501899999,222246216.64610,59569,1175.643,90004385.78930,0
1776501900000,76515.1,76755.4,76500.0,76695.1,1200.267,1776502799999,92006035.89920,33333,830.520,63660208.16930,0
1776502800000,76695.1,76695.1,76400.0,76501.8,2945.011,1776503699999,225384031.46470,48808,1175.799,90013464.06060,0
1776503700000,76501.7,76543.4,76357.1,76538.9,1660.321,1776504599999,126922662.86420,35751,754.213,57664648.12920,0
1776504600000,76538.8,76630.3,76513.4,76589.1,884.807,1776505499999,67762308.41450,21010,548.662,42018322.42970,0
1776505500000,76589.1,76663.2,76487.8,76557.1,1090.368,1776506399999,83490672.90880,21320,599.000,45863681.83530,0
1776506400000,76557.1,76557.2,76166.0,76250.0,6080.918,1776507299999,463999924.23970,88071,2397.950,182957331.12040,0
1776507300000,76249.9,76354.8,76235.4,76287.4,958.638,1776508199999,73139624.76770,29918,514.823,39279041.57660,0
1776508200000,76287.4,76287.4,76179.9,76189.9,1036.536,1776509099999,79009708.09610,27556,510.832,38937776.55290,0
1776509100000,76189.9,76258.0,76091.8,76150.0,1519.068,1776509999999,115679181.43130,30938,627.784,47812517.48980,0
1776510000000,76150.0,76150.0,75870.0,75905.0,3845.862,1776510899999,292281784.37710,70799,1286.703,97771868.91360,0
1776510900000,75905.0,76061.8,75883.6,76034.5,1286.521,1776511799999,97763906.32280,33738,715.863,54404355.83630,0
1776511800000,76034.5,76135.8,75710.6,75803.9,2871.923,1776512699999,217901226.66790,58842,1340.224,101719697.42850,0
1776512700000,75804.0,76065.0,75750.0,76002.0,2557.201,1776513599999,194101952.20000,61875,1634.363,124074786.97210,0
1776513600000,76002.0,76194.3,76000.0,76161.7,2005.438,1776514499999,152690019.62930,49556,1246.009,94868446.59420,0
1776514500000,76161.6,76277.4,76085.0,76100.1,1442.998,1776515399999,109932474.18770,38827,805.994,61404608.18100,0
1776515400000,76100.1,76181.5,76000.0,76140.6,824.106,1776516299999,62701645.64880,25965,445.179,33873422.87030,0
1776516300000,76140.5,76243.0,76138.3,76168.0,1156.654,1776517199999,88121913.96610,29310,542.165,41307705.46990,0
1776517200000,76168.0,76176.0,76090.2,76119.1,490.975,1776518099999,37377235.33380,18433,207.736,15814353.22660,0
1776518100000,76119.1,76175.0,76012.3,76046.1,649.064,1776518999999,49383649.20750,21713,298.720,22727708.30870,0
1776519000000,76046.1,76059.2,75738.0,75908.8,2358.997,1776519899999,179046307.61190,60875,1016.515,77151724.51430,0
